,user,text
1133,EmbamexEUA," #PressRelease by @SRE_mx: Travel Restrictions Announced by the United States. 

#Coronavirus
#Covid_19
"
1134,JosePersona1,"If you weren’t such an inept, incompetent dolt, perhaps the #coronavirus wouldn’t be that big of a deal in the US.  Instead of addressing the situation head on in January, you tucked your head between your legs and hid.  “Build the wall”.  You are unsuited to run this country."
1135,DolphinsDouche,"Yes, #bikeweek is still happening. #coronavirus"
1136,RealCloud_us,The latest RealReport! http://realreport.us/?edition_id=df7c18b0-655c-11ea-a645-0cc47a0d1609… Thanks to @OliverGraf360 @IntempusRealty @creappraiser #realestate #coronavirus
1137,gaytanb,"That time, the great @realDonaldTrump and I teamed up to beat the fake #coronavirus #kag #maga"
1138,FatimaK51945602,Corona support group https://facebook.com/groups/2621953768130456/?ref=share… #Covid_19 #CoronavirusPandemic #coronavirus
1139,PremierRP_en," #Polish government takes another actions in combating #coronavirus. The new rules apply from Sunday, March 15. #KoronawirusWPolsce #zostanwdomu"
1140,oyemiami305,"#Repost @onlymiami1  
 ・・・ 
 10 things currently happening in the world besides #Coronavirus    https://instagram.com/p/B9r3Kihgyov/?igshid=1ochdzjgrx0c1…"
1141,halzzzzzs,Maybe if the people stopped hating on trump he could do great things @realDonaldTrump #coronavirus #donaldtrump #president
1142,iamsylvianhyde,"@iamcardib said it right, shit is getting real! #coronavirus"
1143,Elmi14683430,Have you changed your policy on swallowing because of #coronavirus? #legit
1144,Ruptly,"#Madrid bans terraces, closes restaurants and bars due to #coronavirus
#Spain"
1145,ToddBevanTweet,#Coronavirus hitting us in the lungs but @10DowningStreet hitting me in the feels.
1146,JoelLangstonLee,The latest The JLEE Daily Financial Digest! http://financialdigest.jleetax.com/?edition_id=17b0ad40-655d-11ea-99c6-002590a5ba2d… Thanks to @ChadDavis_1992 @JarrettSkorup @JeremySmithson5 #coronavirus #taxes
1147,Jackpot_Jess,"With threats like #coronavirus, now more than ever, we are all concerned about how to protect ourselves. Now bring the power of UV home to kill bacteria and viruses.  @scalzo_david #uvdisinfection #violetdefense"
1148,inuzubi07,"#COVID2019 #SafeHands
Coronavirus: Big events being postponed"" #Coronavirus"
1149,RUMAANSHAIKH,"#coronavirus #covid19 #USA At this rate, China will be back in action very soon, may be much faster than the world expects and  entire world become panic. .#CoronaVirusUpdate #CoronavirusPandemic "
1150,cattshotquin,What’s wrong with some people!!..Was he doing this deliberately or what?!#coronavirus
1151,peterhubinskyx,"#France #Coronavirus 
Cases: 3,661
Deaths: 79
Recovered: 12
https://worldometers.info/coronavirus/country/france/…"
1152,SkyNews,"Millions of Britons need to become infected with #coronavirus in order for society to have 'herd immunity' from future outbreaks, the government's chief scientific adviser has said.

To read more about #COVID19, click here: https://trib.al/ZfLwxRx"
1153,PacifierProject,"#COVID19 has killed 42 people in the US. In one year (10/1/17-9/30/18) @PPact killed 345,672 people. Or put another way @PPFA is 8,230 times more deadly than the #coronavirus"
1154,ae_GLeone,44 seconds to summarize the spread of the #Coronavirus in our #World ove... https://youtu.be/QILSGiJIu1w vía @YouTube
1155,AJEnglish,"Brazil's President Bolsonaro says he tested negative for #coronavirus, despite reports. He spent time with US President Trump at his resort this past weekend. 

Other high-profile figures have confirmed cases of #covid19."
1156,Greenpeace,Stay safe and be respectful to each other  #COVID19 #coronavirus
1157,NadineDorries,"We have had my 84yo Mums results through. She tested positive. She’s a pre war baby, doing ok. Made of strong stuff. 
#Coronavirus"
1158,People4Bernie,.@BernieSanders says @realDonaldTrump should get tested for #CoronaVirus and release the results
1159,hoodrichpawpaw,Man Miss Suzan Gone Step On Something! #coronavirus
1160,The_NewArab,"Nasser Shabani, a top commander in Iran's IRGC forces, is confirmed to have died from the #coronavirus which has spread significantly among Iran's officials and politicians"
1161,RandyLudlow,Ohio health director Amy Acton is a calming leader in #coronavirus crisis
1162,herbalmedsja,"Reposted from @qehconnect #COVID19: Here are 7 simple steps to help protect yourself and others from COVID-19.

#coronavirus #who https://instagram.com/p/B9ryNhEhUui/?igshid=wfr82xbkbcmq…"
1163,Nocturne20C,@ewarren Warren didn’t sign the #coronavirus bill
1164,Matt_VanDyke,"Speaking of #quarantine...

Reflecting today on 9th anniversary of the day I was wounded + captured in #Libya and imprisoned as #POW in solitary confinement for nearly 6 months before escaping and returning to combat.

A few weeks quarantine for #coronavirus doesn't sound so bad."
1165,mary_morty,"Injustice, cruelty, poverty, loneliness, depression and now the Corona. 
O my God!
Only you can save us from this situation.
Where is that Savior?
#ThePromisedSaviour
#coronavirus"
1166,PDChina,"China's richest man #JackMa on Friday offered the United States 500,000 #coronavirus test kits and a million masks, as the country faces a shortage of kits for diagnosing #COVID_19.  #CoronaPandemic"
1167,voxdotcom,"What's in the #coronavirus relief package the House will vote on:
– Emergency paid sick days
– Emergency paid leave
– Expanded unemployment insurance
– Expanding food security
– Free coronavirus testing
– Increasing the capacity of the US medical system"
1168,sixsevenin,"If India and other countries wants to stop Corona Virus seriously, they should listen to this and start taking appropriate measures like China. 
 #coronavirusinindia #coronavirus #COVID19 @MoHFW_INDIA @PMOIndia"
1169,AndreaCiannavei,This message is going viral in Italy: #coronavirus #coronavirusitaly #ItalyCoronavirus #italy
1170,AdvoBarryRoux,The Ranch Resort in Polokwane paid in advance by the Health Department. #CoronaVirus
1171,AustinJenkinsN3,"On the verge of a #NationalEmergency and the call has just gone out to Washington's life science community to rummage their drawers, cabinets and supply closets for disposal pipette tips so @UW can step up #coronavirus testing.  Apparently they are in short supply."
1172,Reuters,Pharmaceutical giant Roche gets emergency approval from U.S. authorities for a faster #coronavirus test https://reut.rs/2Qe33Wd
1173,People4Bernie,"""We must finally pass a paid family leave program in the United States.""  @BernieSanders #CoronaVirus #COVID19"
1174,Complex,"JetBlue announced a lifetime flight ban for the passenger who flew from NYC to Florida with #Coronavirus.

The passenger in question did not inform JetBlue staff or related personnel that he was waiting on results: http://cmplx.co/8Iuk4Eq"
1175,TeamTrump,Great Q&A thread from @CDCgov on #Coronavirus!
1176,RobbHanrahanCBS,"If you don't know about ""Flattening the curve"" you should. Thanks @DrDenaGrayson #Coronavirus"
1177,wpri12steve,"JUST IN: All students, faculty, and staff of #Cranston High School West asked to self-quarantine at home for next 2 weeks after a positive test of #coronavirus for a student. @wpri12"
1178,wdsu,"It's official: Louisiana schools will be closed from March 16 until April 13 because of coronavirus concerns.
https://bit.ly/38RlJBA
#nola #neworleans #batonrouge #governor #louisiana #coronavirus #covid19"
1179,DavidCornDC,".@SenSanders makes a good point: ""We are only as safe as the least-insured person among us."" #coronavirus"
1180,45thegame,i will also be drinking whiskey in hopes of higher alcohol content will safe off potential infection #coronavirus @theAdamPage @AEWrestling
1181,gartonjonessw1,Here you go @piersmorgan #coronavirus https://instagram.com/p/B9rujUNgmzY/?igshid=18k4mzneafjq1…
1182,CharlesMBlow,I had not even thought about the impact of the #coronavirus on the census…
1183,NHSEngland,"There’s a lot of misinformation doing the rounds about #coronavirus, so it’s important you get your information from a trusted source. Visit http://nhs.uk/coronavirus to find out what the symptoms are, how to prevent the spread, and who should stay at home. #COVID_19uk "
1184,henrywinter,"#EFC responding strongly to threat of #coronavirus locally. @EITC staff texting/phoning “elderly members of our community, particularly those suffering from social isolation” arranging access to emergency food parcels. Also calling its ""most vulnerable"" fans to check in with them"
1185,WarsontheBrink,"BREAKING:

New York Governor @andrewcuomo Minutes back: ""My guess is there are thousands and thousands of cases walking around now in New York.""

#Coronavirus"
1186,dabeard,"Why take pictures of a locked-down Italy? To tell the world, this awaits you if you don't take #coronavirus seriously, says one Italian photographer. 
https://email.nationalgeographic.com/H/2/v400000170d4eac3ccb285e2f4bbc786c8/11b8dd1f-e802-4e07-bfd4-db17c5c5b80a/HTML… @NatGeo"
1187,Primo_1mx,"I saw #JasonVoorhees trending in for a second I thought he got the #CoronaVirus too, I'm glad he's ok..."
1188,DrTedros,"I am touched by your compassionate message to the world today, @Cristiano. Protecting all lives from #COVID19 must be the highest priority! @WHO appreciates your solidarity. I too am thinking of @DanieleRugani & all others who are fighting the #coronavirus"
1189,katysolt,Three tests at a time. That's what @MeckCounty says they are battling when it comes to #coronavirus testing kits in the area. Much more to come from @ReubenJones1 on this tonight on @SpecNewsCLT as we bring you team coverage on the outbreak.
1190,wewantslater,Will #Wrestlemania36 will happen as it's planned? #coronavirus @WrestleMania
1191,DrDenaGrayson,"Trump fanned the flames of this #pandemic by failing to deploy sufficient testing capacity that we still don’t have. As a consequence, the #coronavirus has been allowed to spread undetected across our country for many weeks.

My plan to protect us."
1192,NyLadyDay,A movie about the #coronavirus all I can say is wow shout to @alnuke for putting us up on game jack. And @reallilscrappy for the share https://instagram.com/p/B9rrsUVgeZn/?igshid=11p84u1svyadc…
1193,michaeljohns,"#Coronavirus highlighting our dangerous reliance on #China:

""Chinese pharmaceutical companies have moved in and taken over, supplying between 80 percent and 90 percent of U.S. antibiotics, 70 percent of acetaminophen and about 40 percent of heparin."":"
1194,joelpollak,Stay *mentally* healthy during #coronavirus; consume cable news in careful moderation and ignore most (not all) politicians .
1195,immahikar,"Use #Namaste instead of Handshake for #coronavirus
@BorisJohnson @10DowningStreet"
1196,EpochTimes,"The @Ch_JesusChrist of Latter-day Saints is suspending all #Worship services around the world due to the spread of the #Coronavirus, it said in a statement."
1197,michaeljohns,".@realDonaldTrump, at a 3pm ET press conference today, will declare the #coronavirus a national emergency.

This president is leading boldly: restricting travel of foreign nationals to the U.S., releasing economic assistance, and coordinating public and private resources.

#KAG"
1198,VintageRetroAtq,"To those comparing the #coronavirus to the Flu, be aware that this is very inaccurate dangerous & misleading. Closed case death rate for #covid19 is 7%. Death rate for flu is ~0.1%. This doesn't mean panic, but it DOES mean be PROACTIVE & DEMAND TESTING. This isn't the flu!"
1199,jennavehvi,A whole Roman neighborhood singing a popular Italian song “Volare” from their balconies and waving at each other. An amazing flash mob to lift the spirit in these crazy times  #Italy #coronavirus #forzaitalia #roma #flashmob #love
1200,KhaledBeydoun,"Iran is one of the hardest hit countries by the #Coronavirus. Yet, mainstream media has overwhelmingly fixated on European countries.

Iran has experienced:

- 3,000+ reported deaths
- Satellite detection of mass burials
- A Muslim Ban already in place that preempts travel to US"
1201,sistahPluvE,SSA is a high public contact location which  likelihood of contracting & passing. Handling  transient populations that include the homeless. Choosing to serve the public should not place us as sacrificial lambs #publicservice #Coronavirus @GovernorNewsom   we need action @KTVU
1202,DustyRoseYYC,"One of the biggest Canadian government spends so far during the #coronavirus panic has been on pumping out five-fold more anti-Trump @CBCNews propaganda. This is where your money is going, Canadians.  #cdnpoli"
1203,bfraser747,"PLEASE RETWEET 

Approximately 22 Veterans a day commit suicide. 

~Veterans Crisis Line    
    800-273-8255 

#CoronaVirus #VetSuicide"
1204,RANAVIRENDRAS18,"India's traditional form of greeting NAMASTE is now being adopted across the Globe.

Let us proudly say NAMASTE World .

#coronavirus"
1205,allontheboard,"We need to help and support one another and make sure nobody gets left behind. @allontheboard
#CoronavirusPandemic #COVID_19uk #Covid_19 #CoronaVirusUpdate #CoronaVirus #Humanity #BeKind #allontheboard"
1206,Beautif98478301,#coronavirus side effects of work from home
1207,Refugees,"Stay safe and be respectful to each other! 
#COVID19 #coronavirus"
1208,ThomaskovachS,I go to the fucking store and i see ppl fighting over toilet paper like tf? Diarrhea isnt a symptom of the #coronavirus  and the weird ass jumpsuits ppl be wearing make them look like a used condom #TrojanStrong
1209,Joyce_Karam,"Meanwhile, UK registered 208 new #Coronavirus cases today, > 35% increase in 24 hours. Total 798 cases, 10 deaths.

That’s also more than many EU countries day rates, that are on US travel ban list (UK isn’t):"
1210,People4Bernie,".@BernieSanders will address remarks on the #coronavirus crisis at 2PM EST.

Watch on his account. Turn on your notifications."
1211,rishibagree,"Considering its billion plus population, India is handling #coronavirus much better than the so called 'developed' countries."
1212,AnaCabrera,"Bill Gates is contributing $50 million toward finding and testing treatments to the novel #coronavirus. Also, the charitable foundation by Alibaba co-founder Jack Ma will be donating 1 million face masks and 500,000 coronavirus testing kits to the United States."
1213,TrendVirat,"Urging everybody to be safe in this time of #CoronaVirus outbreak.

Take all precautionary measures while going out in public.

Consider consulting a doctor even if you're slightly ill.

Spread Awareness."
1214,DDNational,"PLEASE RETWEET -
A list of all #COVID19 Helpline numbers from various States/UTs .
 #CoronaVirus #COVID2019 #Corona #CoronaAlert #COVID19 #HelpUsToHelpYou"
1215,mwimayfair,Panic in Parts of London Over Coronavirus. Meanwhile in Mayfair… https://link.medium.com/6vKEL3QgP4 #coronavirus #London #mayfair
1216,USCCB,"In this time of need, @ArchbishopGomez invites all the faithful to seek together the maternal intercession of Our Lady of Guadalupe. #Coronavirus #COVID-19"
1217,GaryGrumbach,"Sen. @BernieSanders will be holding a press conference at 2p today from Burlington, VT. This is the senator’s second day in a row of remarks focused on #Coronavirus."
1218,aubrey_huff,"Swine flu killed way more people than #coronavirus. Where was all the @nba, @mlb, @NHL @marchmadness shut downs, & global panic then? Oh yeah that’s right @realDonaldTrump and his booming economy wasn’t around then. Something to ponder ."
1219,SkyNews,"""Be fast, have no regrets.""

Dr Michael J Ryan says ""the greatest error is not to move"" and ""speed trumps perfection"" when it comes to dealing with an outbreak such as #coronavirus.

Get the latest on COVID-19  https://trib.al/sgRtiyo"
1220,Varun_Jhaveri,"Ofcourse, #coronavirus is a huge problem.That's why:
1. When there were only 50 cases in China, India started thermal screenings
2. Even before 1st death in India, the it cancelled visas 
3. Evacuated Indians across globe

180 characters criticism is easy, 24*7 hardwork isn't."
1221,mattswider,"(33) I'm free from Egypt's #CoronaVirus military hospital by testing negative many times. Thank you to the amazing doctors, my new Egyptian followers (Shukran Habibi!) & my reliable US friends & Congresspeople for helping me get home. I  Egypt & will return one day. #COVID19"
1222,CitronLeft,$corn I have the cure for #coronavirus #COVID19  IT ISCORN the antioxidants in corn will shield you from #coronavirus  eat it or apply cornstarch or liquified corn to your skin daily hands/ face also nasal passages @realDonaldTrump Tecrium Corn Fund $corn $aapl $ba $tsla $f
1223,Elliefante95,I know what I’m going to do if I get #coronavirus I’m going to binge #HIMYM. Thank you @ActuallyNPH for making this worth it 
1224,iPriyankaBhatt,Don't panic but please be well informed. #CoronaVirus  Let's use the power of social media to educate not to spread hate. Counting on you all 
1225,Steve_Cutts,"Happy Friday 13th! Stay safe...

#coronavirus #Covid_19 #panickbuying #panickbuyinguk #selfisolating #COVID_19uk #CoronaOutbreak #CoronavirusPandemic #FridayThe13th"
1226,laughsfliesaway,"WHO announces dogs cannot contract #coronavirus 

Me :"
1227,benwikler,"This melts my mind—that Trump declared a national emergency to build his wall, but still hasn't for #coronavirus."
1228,businessinsider,"BREAKING: President Trump to declare national emergency over the coronavirus, weeks after downplaying the threat against the virus, as per reports.

Here’s how the Trump administration’s move will help speed the #coronavirus response. "
1229,rapplerdotcom,"JUST IN: 'Europe has now become the epicenter of the pandemic,' says WHO chief Tedros Adhanom Ghebreyesus. #coronavirus"
1230,chourico1000,"#Repost @LesterZeor
• • • • • •
Tag that friend !!!

#coronavirus @ Encore Casino https://instagram.com/p/B9rh7WJBYol/?igshid=1t62g2qfatcou…"
1231,Reuters,President Trump to declare a national emergency over #coronavirus under Stafford Act to provide additional federal aid to states and localities
1232,MattSmethurst,"Maddening paradox of #coronavirus precautions:

They feel silly, cowardly, extreme. But they are not.

If the preventative measures work, then by definition they’ll appear to have been excessive. Success will look like overreaction.

And neighbor love will often feel unloving."
1233,OrangeCoSheriff,Watch live: #coronavirus briefing:
1234,WHO,"""Cover your mouth & nose with your elbow if you cough or sneeze. 

Stay home if you’re sick.

Avoid unnecessary travel & large social gatherings.

Comply with the advice of your local / national health authority.

Find & share reliable information""-@DrTedros #COVID19 #coronavirus"
1235,Rivkey_ans,"""Not touching your face""

5 second later................. 
#breakingnews #COVID19 #Covid_19 #LockDownIndonesia #coronavirus"
1236,TomFitton,#coronavirus crisis demonstrates that secure borders are necessary to protect the public health.
1237,HumanityForYang,"LAUNCHING #EmergencyUBI TREND RIGHT NOW!

Contact your congressional leaders to enact an emergency universal basic income for all Americans as a response to the #coronavirus!

Spread the word #YangGang !"
1238,kystokes,"BREAKING: @LASchools and San Diego Unified have both decided to close effective Monday due to concerns about the #coronavirus, per a statement from #LAUSD."
1239,WHO,"""Our message to countries continues to be: you must take a comprehensive approach. 

Not testing alone. Not contact tracing alone. Not quarantine alone. Not social distancing alone. Do it all""-@DrTedros #COVID19 #coronavirus"
1240,SimoItaliaX," Italy, Naples
Never Lose The Desire To Be Happy
#Covid_19 #coronarvirusitalia #CoronaOutbreak #coronavirus #CoronaVirusUpdate #coronavirusEspana #CoronavirusPandemic #CoronavirusFrance #COVID19fr #covid19italy #COVID_19uk #"
1241,WHO,"""Europe has now become the epicenter of the #COVID19 pandemic, with more reported cases and deaths than the rest of the world combined, apart from #China.

More cases are now being reported every day than were reported in  at the height of its epidemic""-@DrTedros #coronavirus"
1242,EpochTimes,"“It appears at this hour that the Speaker and House Democrats instead chose to produce an ideological wish list that was not tailored closely to the circumstances,” @SenateMajLdr #MitchMcConnell said, criticizing the #Coronavirus relief bill."
1243,WHO,"""I want to start today by acknowledging that even though #COVID19 has captured the world’s attention, there are still many other health issues people continue to face every single day, and that WHO is continuing to work on""-@DrTedros #coronavirus"
1244,morethanmySLE,"WATCH: 19 LIES by Trump re: #coronavirus 

He also REJECTED a comprehensive bill proposed by Speaker Pelosi.

His Administration will NOT allow Medicaid funds used for emergency purposes as previously for 9/11, Katrina, H1N1.

#TrumpLiesAboutCoronavirus"
1245,ABC7,#BREAKING Children's Hospital Los Angeles confirms it is treating a patient between 6 and 9 years old with novel #coronavirus https://abc7.la/38NvkcH
1246,FrvnkieH,Get y’all toilet paper for the low low !!  #Coronavirus
1247,NIHDirector,"#NIH’s #1 priority is to protect staff & patients. I have made the decision that effective 3/16, all telework-eligible NIH staff will begin teleworking through 4/3 to promote social distancing & help “flatten the curve” of #COVID19 spread. #coronavirus"
1248,Millie__Weaver,"Ohio banned mass gatherings of over 250 people...

Trump and Bernie can’t hold rallies anymore.

Only Biden can hold rallies because he can’t draw a crowd over 250 people anyway. 

#coronapocalypse #coronavirus #QuarantineAndChill"
1249,v_shakthi,Here's what experts say for Wall Street as the #coronavirus pandemic continues
1250,DigitalTrends,These robots are fighting the #Coronavirus 
1251,ManLikeOs,The only ones that can save us now #coronavirus
1252,Jessicablountl,Here's advise posted by a Georgia nurse this afternoon to friends and family. #coronavirus #Georgia
1253,BethRigby,"NEW: #coronavirus next steps 
- Govt to stop mass gatherings next wk. Concern about burden large events put on pub services (NHS/police) 
- Talks w biz/other bodies on moving to working from home
- emergency laws coming: powers to stop mass gatherings/compensate people + more"
1254,thisisinsider,What it's like to travel during the #coronavirus outbreak
1255,BeingLGBTQPod,"Sicily, 2020 during the #coronavirus lockdown... "
1256,fox5sandiego,Walmart to use portions of parking lots for drive-thru #coronavirus testing
1257,politico,"President Trump on Friday deflected blame for his administration’s lagging ability to test Americans for the #coronavirus outbreak, insisting instead — without offering evidence — that fault lies with his predecessor, Barack Obama"
1258,TruPatriot4ever,Time to grow our food #coronavirus
1259,HAHAninjanut,"“I made my first gif ever” [Now with Proper spelling] Staying indoors so I don’t catch the coronavirus(Immunosuppressant’s make it tricky). Just keeping busy by learning new skills
#coronavirus #rickandmorty"
1260,madelyn_rarig,Meryl Streep don’t leave your freaking house! #coronavirus
1261,JohnJamesMI,Still Practicing...  #washyourlyrics #coronavirus
1262,ChrisLu44,"With news of a Pelosi-Mnuchin deal on #coronavirus stimulus, let's recall how GOP refused to help Obama mitigate the recession. House GOP voted unanimously against 2009 stimulus, then imposed austerity measures that slowed the recovery (cc @paulwaldman1)
https://washingtonpost.com/opinions/2020/03/06/democrats-want-minimize-damage-coronavirus-even-if-it-helps-trump/…"
1263,elladdoherty,us on april 18 hosting our own @IsaacDunbar concert because we know ours will be cancelled for #coronavirus
1264,njdotcom,Port Authority ramps up the cleaning of mass transit facilities to slow #coronavirus @PANYNJ
1265,MMcCarthyREV,"Inevitable: CBS will replace popular NCAA March Madness 'Selection Show' with local and national news at Sunday night, said sources. 

The live one-hour show unveiling the brackets was supposed to air at 6 pm.

Sad to see a 40-year TV tradition go by the boards. #coronavirus"
1266,TEXANJAY,When you black and can't catch the #coronavirus
1267,ShaamShaikh,"Start where you are,
Use what you have.
Do what you can and together let's fight #coronavirus.
I strongly pray for all Kenyans. family and friends,
it's at this point in life when we need to stick to He, Allah.
The one, the unique "
1268,trbell_,I can’t even #coronavirus
1269,GSarantopoulos,Kudos to @BNBuzz for getting creative to make up all that lost business due to the #coronavirus
1270,DepressionNRap,#coronavirus looking like one of these shitty dollar store toys
1271,WVTM13,"#BREAKING: Jefferson County Department of Health announces confirmed #CoronaVirus case, making the second confirmed case in Alabama"
1272,Gamer19Gabri,The situation in Italy after the quarantine for #coronavirus
1273,northy_jess,I need to stop @onedirection #coronavirus
1274,AAMSSA27,"Spoilers from April 2020 
#coronavirus #Covid_19"
1275,gaylelemmon,Two friends told me today of their partners facing layoffs and their fears about the future given #coronavirus economic reach. Thinking of all those facing real economic challenge they most certainly did not expect when this month started.
1276,JoeB14ck,- Newborn baby ‘tests positive’ for #coronavirus at London hospital
1277,DrDenaGrayson,"Trump has always put his needs over the needs of the American people. He is finally learning that he *can’t* spin his way out of this #pandemic.

How many lives did he put at risk due to his failure to respond quickly to this deadly #coronavirus"
1278,DrDenaGrayson,"The #coronavirus deal is a product of an intense round of talks that unfolded between Pelosi and Steven Mnuchin, as financial markets swung wildly amid uncertainty about the spiraling crisis.

Pelosi is *quite* the deal-maker."
1279,Justinkaseart,"“I made my first gif ever” [Now with Proper spelling] Staying indoors so I don’t catch the coronavirus(Immunosuppressant’s make it tricky). Just keeping busy by learning new skills
#coronavirus #rickandmorty"
1280,jeffperera,"Community, a question for us: with schools closing for weeks so we can flatten the curve of spread, how are we supporting health workers who don’t have alternative childcare options? We need these folks to be able to do their work. #coronavirus"
1281,Honey_C__,"These Guys were the Smartest People in the World. Where is that Bio-Dome Located? Trying to Quarantine myself there. Any information will help!
Thanks 
#coronapocalypse #coronavirus #QuarantineAndChill"
1282,elliot_indie,Wow 2nd year is over with a lot sooner than expected #coronavirus
1283,FizzFairyUK,Soap anyone? THE best way to beat bacteria and viruses. Hand sanitiser is your best bet if you don’t have access to soap and water. #health#soap#washyourhands #coronavirus… https://instagram.com/p/B9sQaKfnddR/?igshid=1uc0nd2p68wzg…
1284,SkyNews,The head of the @WHO says Europe has now become the epicentre of the #coronavirus pandemic
1285,Jamie_S_Kennedy,NYC is a ghost town. Picture of Bryant Park subway station at rush hour today. #coronavirus #nyc @cbs46
1286,SenJeffMerkley,"IMPORTANT: To minimize the spread of #coronavirus in our communities, Governor Brown has issued a statewide closure of OR K-12 schools beginning Monday, March 16 through Tuesday, March 31."
1287,fagatron1994,"The working class: blindly living in a capitalist society, ignoring our living conditions and the oppressive limitations placed upon us

#coronavirus :"
1288,RobFelix,Stay with me cambada...  #coronavirus
1289,NCTTRASH0,NCT was warning us before it all happened! The legends they are  #coronavirus
1290,shaimaaMtab,"There is no more difficult than the presence of the Israeli occupation virus and can not be compared with the #Coronavirus
#COVID19
#IsraeliCrimes"
1291,RybaFlavin,when your boss overreacts about the #coronavirus
1292,ijustbitchNmoan,"Just so you know who is responsible for the inefficient response time to this #coronavirus
#CONVID19 #pandemic

""Trump administration budget cuts could become a major problem as coronavirus spreads – Fortune"" https://fortune.com/2020/02/26/coronavirus-covid-19-cdc-budget-cuts-us-trump/amp/…"
1293,buck_cummins,"Come and Take it , #coronavirus version !"
1294,NationAleph,"#china is doing great!
#coronavirus #CoronaOutbreak"
1295,lopezlinette,"So, am I hearing this right? The #coronavirus website is:

A) not powered by Google
B) not ready

Even for this White House that is such a whopping lie I’m surprised."
1296,ivan8848,"U.S. expert says COVID-19 testing is 'failing'
#coronavirus"
1297,Yvetteh33,I’m ready #coronavirus
1298,AlArabiya_Eng,"Iranian officials likely don’t know the actual number of #coronavirus infections in the country, according to Yale University epidemiology professor Dr. Kaveh Khoshnood."
1299,rosellacottage,I’d say that bloke on a bike hasn’t raised my risk of catching #coronavirus much today @rosellacottage. How’s the commute where you live going?
1300,RepGosar,Bringing together government and private sector to tackle the Wuhan #coronavirus is a huge step toward rapidly increasing our testing capacity.
1301,euronews,"'No mask, no gel' Trying to find sanitising gel is becoming a wild goose chase. #coronavirus"
1302,v_shakthi,"Executive shakeups, a Tesla milestone, and Lego's green moves: here's a look at the week in non-#coronavirus"
1303,ogmeez,there’s been one confirmed case of #coronavirus at my job and they still want me to show up to work while everyone else is working from home. please make it make sense....
1304,ballydonna,Good guide to follow #coronavirus
1305,v_shakthi,Here's what some people are experiencing in the last moments before Disneyland closes its doors due to #coronavirus
1306,SaraCarterDC,".@JerryFalwellJr:

Could #Coronavirus be the 'Christmas Gift', Kim Jong-un promised to U.S.?"
1307,The_NewArab,"Imams are harnessing their powers of influence to raise awareness about the novel #coronavirus among Muslim masses, and encourage habits which could save lives"
1308,Katx24x,This is what should have been said!!!! #coronavirus
1309,Prabjitjohal,Only this uncle can stop Corona now  #coronavirus #CONVID19
1310,DuenasTweets,"Voice reveal

Also I know this is happening to almost everyone in any county, but I feel like I should post this anyways
#coronavirus #schoolclosures"
1311,RuthMinthe,she snapped and ended the evil that is Coachella #coronavirus
1312,5and_man,why singing national theme at the window for #coronavirus when you can play @meshuggah at 300 W power?
1313,countykerry,To assist in curbing the spread of the #coronavirus all Kerry County Council playgrounds will be closed from Saturday morning. Your support and cooperation is appreciated
1314,tr15t,Oh literally come on @BBCNewsnight he’s got green glasses. I’ve had a glasss of wine... #coronavirus #expert #xrayspecs
1315,CnCz102,We going to be ok #coronavirus
1316,sarvesh_badhwar,How to fight against shortage of hand sanitizers in market #covid19Canada #coronavirus
1317,jsim519,#toiletpaper #coronavirus #coronapocalypse Plenty of toilet paper for everyone today out of the @UPS truck.
1318,Terri_M_X,"Most countries on lockdown .. 

UK : let’s go to the races @CheltenhamRaces
#coronavirus"
1319,BXToDaHeart,"The media would have never allowed President Obama to say he takes no responsibility for his lackluster #coronavirus  response. They would have been apoplectic and called for his immediate removal, which the @GOP would have obliged.

But since it's their boy:"
1320,_dwabi_,Not sure what this means but my crackerjack prize looks like a #Coronavirus
1321,BizSuitGamer,#coronavirus-related #dailymeme incoming (long overdue):
1322,madman_376,"#coronapocalypse 
Uk : spending 10 million dollars to fight #coronavirus 
China : building an entire hospital in 10 days to fight #coronavirus 
Meanwhile India :"
1323,Young15496217,"Considering Canada officially advised against international travel due to the #coronavirus, @AirCanada should waive not only change fees but also fare differences (as long as they're within the same cabin). Why should we pay for something that's not our fault? #COVID19 #aircanada"
1324,WestWingReport,"Two recent visitors to Mar-A-Lago have tested positive for #coronavirus, reports WashPost. You may recall that the President’s Florida resort has been cited in the past for dozens of health violations"
1325,josephamiles,We’re all talking about #coronavirus but why aren’t we talking about KFC charging £1.99 for this minimised Krushem? @kfc
1326,Gregwarro,"Was hoping to meet @JBONAMASSA next week. Maybe get him to sign my Les Paul, then hang with my blues brother Bob for the show in Spokane. Cancelled!  Same time next year? Got the #coronavirus #blues"
1327,Jamie_Burkart,I guarantee you that there are more germs and general grossness in this bunker than at the @CDCgov right now. #coronavirus
1328,tania_tatiya,the inscription reads: the most reliable mask)) #coronavirus #koronaviruesue
1329,palevell, After @POTUS @realDonaldTrump's #coronavirus news conference 
1330,BearddByNature,Where the ass paper at? #COVID-19 #Coronavirus
1331,omcintyre25,"Everyone needs a best pal like @sammccann87 in times of trouble  (gentle reminder to be nice to your travel agent everyone, they're trying their best) #coronavirus"
1332,TobyWoody,Expert #coronavirus #Newsnight 
1333,jacobkuerth,"#BREAKING: The St. Louis Co. Health Department confirms a second ""presumptive positive"" case of COVID-19 (#coronavirus)."
